Node,Community,Proximity to SOD1,Relative subgraph centrality,Subgraph centrality,Participation coefficient
4932.YLR034C,1,2,8.661028762112955e-05,1.0002989644927696,0.0
4932.YCL018W,4,2,3.928776363306308e-05,1.0009455462315142,0.2970521541950113
4932.YIL125W,4,2,5.686752746025716e-05,1.0014103954551126,0.3724222837796245
4932.YOL140W,4,3,4.4634517728202316e-07,1.0003877853839067,0.2777777777777778
4932.YKL109W,3,3,4.180508169715296e-07,1.0002067372136896,0.72
4932.YNR036C,13,2,6.676744433921946e-05,1.0032224199163267,0.460223537146614
4932.YDR529C,6,2,2.4468174709264075e-05,1.001676392249156,0.06396130072561135
4932.Q0250,6,2,7.449305030347487e-05,1.001670802945499,0.06198034769463345
4932.YDR263C,10,3,6.702345157214365e-07,1.0005505434121877,0.13991769547325106
4932.YBR085W,6,3,4.2783233182810856e-07,1.0001615905016372,0.5625
4932.YOL027C,6,3,3.227495946552016e-07,1.0001733972867193,0.75
4932.YBR010W,3,3,6.282489895928273e-07,1.002886938906136,0.5394440270473329
4932.YHR001W-A,6,2,2.2969970500498395e-05,1.0011917364361966,0.0
4932.YDR203W,20,6,2.36166338221655e-16,1.0000214870191317,0.0
4932.YMR080C,12,3,1.2142857745657196e-07,1.0006478577324665,0.5867346938775511
4932.YML129C,6,3,7.191259291721916e-07,1.0002087110700089,0.19753086419753085
4932.YER015W,2,3,1.1817366141937013e-06,1.0006068075823757,0.19753086419753085
4932.YLR439W,13,2,9.001941547850256e-05,1.0026301838192706,0.265495867768595
4932.YPL029W,6,3,5.290879680577322e-08,1.0002630706824407,0.44628099173553715
4932.YLR038C,6,2,6.857967531195591e-05,1.0016736782198532,0.031242126480221732
4932.YBL038W,13,2,6.533155142740842e-05,1.002814753119186,0.3539496527777778
4932.YGR222W,6,3,1.8421964885116052e-07,1.0002319947668123,0.0
4932.YIL114C,6,3,9.563917580859144e-07,1.0003388314573372,0.2265625
4932.YBR151W,7,5,1.6820681810305119e-13,1.0000167336815031,0.0
4932.YBL022C,6,2,4.6039348946027886e-05,1.0003294892745498,0.7288888888888889
4932.YBL080C,13,3,2.1409723960287997e-07,1.0003050380830096,0.591715976331361
4932.YHR008C,7,1,0.00795198382491991,1.0008036373994655,0.7313019390581718
4932.YNL071W,4,2,2.482953449288699e-05,1.0010534115584804,0.35330578512396693
4932.YMR228W,6,3,1.927139544465349e-07,1.000062492311728,0.4444444444444444
4932.YKL148C,6,2,5.2996286880093823e-05,1.0012509582698674,0.49630177514792895
4932.YPL132W,6,1,0.005895565804276301,1.000963753801361,0.31000000000000005
4932.YDR462W,13,2,5.9443205747843845e-05,1.0023300094291938,0.12228796844181455
4932.Q0070,6,3,1.24954953261287e-06,1.0004061344374382,0.0
4932.YGR193C,4,3,1.1577879238011853e-06,1.0003538535697993,0.0
4932.YOL033W,13,3,9.588995335550786e-07,1.0006330191465187,0.4872448979591837
4932.YEL050C,13,2,6.638210153701377e-05,1.0037266562160683,0.5319670305190465
4932.YMR244C-A,6,2,5.412271361967158e-05,1.0003474043680964,0.12444444444444447
4932.YJL052W,7,3,2.7143325508539482e-06,1.0005906215761626,0.7011834319526626
4932.YJL003W,6,3,1.035175288132675e-06,1.0003602895152723,0.0
4932.YMR110C,4,2,2.4705290819861873e-05,1.0009395501653997,0.6241211465657113
4932.YLR348C,6,3,4.744302781363452e-08,1.000047942065941,0.5
4932.YMR090W,7,2,9.026302224208213e-05,1.000712299765674,0.356401384083045
4932.YDR270W,1,1,0.0067204325270818245,1.0005246708395479,0.5555555555555556
4932.YNL259C,1,1,0.0074151579055690186,1.0004991027051897,0.6983471074380165
4932.YPL189C-A,6,3,7.029400627513846e-07,1.0001225003571064,0.0
4932.YKL208W,6,4,5.254521999583858e-09,1.0001226423703593,0.0
4932.YLR069C,13,2,2.5366939003360176e-05,1.0008256016038037,0.29475308641975306
4932.YLR203C,6,3,8.627907937884636e-07,1.0003716319348348,0.1171875
4932.YMR234W,10,4,2.48248084144375e-09,1.0001635722850957,0.21875
4932.YER077C,6,4,2.98028088809737e-09,1.0000180721041871,0.0
4932.YGR208W,4,3,7.066806909667572e-07,1.0004208496649403,0.38062283737024216
4932.YDR194C,6,3,2.904015348818541e-07,1.0003807667044962,0.7098765432098766
4932.YDR405W,13,2,6.48393104422295e-05,1.0024184602152229,0.1634375
4932.YLR393W,6,3,4.2203403109828275e-07,1.000300684479088,0.13265306122448983
4932.YPR191W,6,2,4.658518281499456e-05,1.0019434023260736,0.20511803213648083
4932.YGL064C,13,3,4.650322346586846e-07,1.000190915640491,0.7
4932.YDR312W,14,4,2.295555214600238e-08,1.0004767828790484,0.5
4932.YGR062C,6,2,6.92641955074056e-05,1.0009579452082569,0.24489795918367352
4932.YLR384C,14,3,2.357991987775917e-07,1.0005261338281055,0.4580498866213152
